dm_milk_production_national_month_key	program	year	geo_level	month	production_weight_lbs	production_weight_by_cattle_head_lbs	milk_cows
916	SURVEY	2019	NATIONAL	1	18,612,000,000	1,990	9,354,000
917	SURVEY	2019	NATIONAL	2	16,966,000,000	1,814	9,352,000
918	SURVEY	2019	NATIONAL	3	18,845,000,000	2,019	9,333,000
919	SURVEY	2019	NATIONAL	4	18,433,000,000	1,975	9,332,000
920	SURVEY	2019	NATIONAL	5	19,058,000,000	2,042	9,333,000
921	SURVEY	2019	NATIONAL	6	18,225,000,000	1,954	9,327,000
922	SURVEY	2019	NATIONAL	7	18,375,000,000	1,973	9,315,000
923	SURVEY	2019	NATIONAL	8	18,267,000,000	1,960	9,318,000
924	SURVEY	2019	NATIONAL	9	17,595,000,000	1,885	9,333,000
925	SURVEY	2019	NATIONAL	10	18,135,000,000	1,940	9,347,000
926	SURVEY	2019	NATIONAL	11	17,506,000,000	1,873	9,345,000
927	SURVEY	2019	NATIONAL	12	18,365,000,000	1,966	9,343,000
928	SURVEY	2020	NATIONAL	1	18,860,000,000	2,015	9,361,000
929	SURVEY	2020	NATIONAL	2	17,890,000,000	1,908	9,375,000
930	SURVEY	2020	NATIONAL	3	19,380,000,000	2,065	9,385,000
931	SURVEY	2020	NATIONAL	4	18,675,000,000	1,992	9,375,000
932	SURVEY	2020	NATIONAL	5	18,955,000,000	2,025	9,360,000
933	SURVEY	2020	NATIONAL	6	18,367,000,000	1,964	9,350,000
934	SURVEY	2020	NATIONAL	7	18,645,000,000	1,994	9,352,000
