dm_milk_production_national_month_key	program	year	geo_level	month	production_weight_lbs	production_weight_by_cattle_head_lbs	milk_cows
1	SURVEY	1930	NATIONAL	1	7,371,000,000	337	21,892,000
2	SURVEY	1930	NATIONAL	2	7,051,000,000	321	21,951,000
3	SURVEY	1930	NATIONAL	3	8,253,000,000	375	22,010,000
4	SURVEY	1930	NATIONAL	4	8,723,000,000	395	22,067,000
5	SURVEY	1930	NATIONAL	5	10,386,000,000	469	22,124,000
6	SURVEY	1930	NATIONAL	6	10,766,000,000	485	22,189,000
7	SURVEY	1930	NATIONAL	7	9,725,000,000	437	22,243,000
8	SURVEY	1930	NATIONAL	8	8,413,000,000	377	22,302,000
9	SURVEY	1930	NATIONAL	9	7,522,000,000	336	22,361,000
10	SURVEY	1930	NATIONAL	10	7,466,000,000	333	22,427,000
11	SURVEY	1930	NATIONAL	11	7,091,000,000	315	22,495,000
12	SURVEY	1930	NATIONAL	12	7,391,000,000	328	22,562,000
13	SURVEY	1931	NATIONAL	1	7,798,000,000	344	22,644,000
14	SURVEY	1931	NATIONAL	2	7,417,000,000	326	22,725,000
15	SURVEY	1931	NATIONAL	3	8,519,000,000	373	22,811,000
16	SURVEY	1931	NATIONAL	4	9,048,000,000	395	22,898,000
17	SURVEY	1931	NATIONAL	5	10,580,000,000	460	22,980,000
18	SURVEY	1931	NATIONAL	6	10,683,000,000	463	23,069,000
19	SURVEY	1931	NATIONAL	7	9,663,000,000	417	23,150,000
20	SURVEY	1931	NATIONAL	8	8,643,000,000	372	23,230,000
21	SURVEY	1931	NATIONAL	9	7,798,000,000	335	23,312,000
22	SURVEY	1931	NATIONAL	10	7,737,000,000	331	23,395,000
23	SURVEY	1931	NATIONAL	11	7,427,000,000	316	23,478,000
24	SURVEY	1931	NATIONAL	12	7,716,000,000	328	23,558,000
25	SURVEY	1932	NATIONAL	1	7,951,000,000	336	23,650,000
26	SURVEY	1932	NATIONAL	2	7,784,000,000	328	23,737,000
27	SURVEY	1932	NATIONAL	3	8,625,000,000	362	23,823,000
28	SURVEY	1932	NATIONAL	4	8,854,000,000	370	23,906,000
29	SURVEY	1932	NATIONAL	5	10,504,000,000	438	23,986,000
30	SURVEY	1932	NATIONAL	6	10,701,000,000	445	24,068,000
31	SURVEY	1932	NATIONAL	7	9,777,000,000	405	24,145,000
32	SURVEY	1932	NATIONAL	8	8,739,000,000	361	24,228,000
33	SURVEY	1932	NATIONAL	9	7,974,000,000	328	24,311,000
34	SURVEY	1932	NATIONAL	10	7,810,000,000	320	24,399,000
35	SURVEY	1932	NATIONAL	11	7,369,000,000	301	24,467,000
36	SURVEY	1932	NATIONAL	12	7,722,000,000	315	24,544,000
37	SURVEY	1933	NATIONAL	1	7,983,000,000	324	24,636,000
38	SURVEY	1933	NATIONAL	2	7,532,000,000	305	21,718,000
39	SURVEY	1933	NATIONAL	3	8,580,000,000	346	24,798,000
40	SURVEY	1933	NATIONAL	4	8,989,000,000	361	24,883,000
41	SURVEY	1933	NATIONAL	5	10,665,000,000	427	24,963,000
42	SURVEY	1933	NATIONAL	6	10,675,000,000	426	25,043,000
43	SURVEY	1933	NATIONAL	7	9,973,000,000	397	25,117,000
44	SURVEY	1933	NATIONAL	8	9,167,000,000	364	25,191,000
45	SURVEY	1933	NATIONAL	9	8,192,000,000	324	25,262,000
46	SURVEY	1933	NATIONAL	10	7,941,000,000	314	25,329,000
47	SURVEY	1933	NATIONAL	11	7,417,000,000	292	25,385,000
48	SURVEY	1933	NATIONAL	12	7,648,000,000	301	25,433,000
49	SURVEY	1934	NATIONAL	1	7,652,000,000	300	25,469,000
50	SURVEY	1934	NATIONAL	2	7,144,000,000	280	25,496,000
51	SURVEY	1934	NATIONAL	3	8,272,000,000	324	25,521,000
52	SURVEY	1934	NATIONAL	4	8,760,000,000	343	25,519,000
53	SURVEY	1934	NATIONAL	5	10,182,000,000	400	25,485,000
54	SURVEY	1934	NATIONAL	6	10,477,000,000	412	25,400,000
55	SURVEY	1934	NATIONAL	7	9,796,000,000	388	25,263,000
56	SURVEY	1934	NATIONAL	8	9,004,000,000	359	25,083,000
57	SURVEY	1934	NATIONAL	9	8,160,000,000	327	24,934,000
58	SURVEY	1934	NATIONAL	10	7,835,000,000	316	24,829,000
59	SURVEY	1934	NATIONAL	11	7,185,000,000	291	24,728,000
60	SURVEY	1934	NATIONAL	12	7,154,000,000	290	24,634,000
61	SURVEY	1935	NATIONAL	1	7,084,000,000	289	24,544,000
62	SURVEY	1935	NATIONAL	2	6,690,000,000	273	24,461,000
63	SURVEY	1935	NATIONAL	3	7,823,000,000	321	24,381,000
