State,2019 Milk Production (lbs),2020 Milk Production (lbs),2020 Milk Production (lbs) Percent Change from 2019,2019 Milk Cows,2020 Milk Cows,2019 Milk Per Cow,2020 Milk Per Cow,Month
Arizona,17699000000,17956000000,0.015,8805000,8834000,2010.0,2033.0,<Report Month - 1>
California,16132000000,17031000000,0.056,8803000,8848000,1833.0,1925.0,<Report Month - 1>
Colorado,17916000000,18455000000,0.03,8789000,8857000,2038.0,2084.0,<Report Month - 1>
Florida,17544000000,17778000000,0.013,8788000,8852000,1996.0,2008.0,<Report Month - 1>
Georgia,18137000000,18049000000,-0.005,8790000,8836000,2063.0,2043.0,<Report Month - 1>
Idaho,17342000000,17486000000,0.008,8784000,8827000,1974.0,1981.0,<Report Month - 1>
Illinois,17542000000,17800000000,0.015,8785000,8829000,1997.0,2016.0,<Report Month - 1>
Indiana,17439000000,17800000000,0.021,8785000,8829000,1985.0,2016.0,<Report Month - 1>
Iowa,16796000000,17800000000,0.06,8785000,8829000,1912.0,2016.0,<Report Month - 1>
Kansas,17299000000,17800000000,0.029,8785000,8829000,1969.0,2016.0,<Report Month - 1>
Michigan,16699000000,17800000000,0.066,8785000,8829000,1901.0,2016.0,<Report Month - 1>
Minnesota,17517000000,17800000000,0.016,8785000,8829000,1994.0,2016.0,<Report Month - 1>
New Mexico,16112800000,17294000000,0.0716,8822000,8840600,1826.6,1956.8,<Report Month - 1>
New York,16341600000,17387300000,0.0633,8817500,8841400,1853.5,1967.1,<Report Month - 1>
Ohio,16570400000,17480600000,0.055,8813000,8842200,1880.4,1977.4,<Report Month - 1>
Oregon,16799200000,17573900000,0.0467,8808500,8843000,1907.3,1987.7,<Report Month - 1>
Pennsylvania,17699000000,17956000000,0.015,8805000,8834000,2010.0,2033.0,<Report Month - 1>
South Dakota,16132000000,17031000000,0.056,8803000,8848000,1833.0,1925.0,<Report Month - 1>
Texas,17916000000,18455000000,0.03,8789000,8857000,2038.0,2084.0,<Report Month - 1>
Utah,17544000000,17778000000,0.013,8788000,8852000,1996.0,2008.0,<Report Month - 1>
Vermont,18137000000,18049000000,-0.005,8790000,8836000,2063.0,2043.0,<Report Month - 1>
Virginia,18843000000,18422500000,-0.0265,8782500,8838000,2144.5,2084.5,<Report Month - 1>
Washington,19407300000,18660200000,-0.0465,8778500,8833900,2209.3,2112.3,<Report Month - 1>
Wisconsin,19971600000,18897900000,-0.0665,8774500,8829800,2274.1,2140.1,<Report Month - 1>
