Milk Production (lbs),Milk Cows,Milk Per Cow,State,Year,Month
17699000000,8805000,2010.0,Arizona,2019,<Report Month - 1>
16132000000,8803000,1833.0,California,2019,<Report Month - 1>
17916000000,8789000,2038.0,Colorado,2019,<Report Month - 1>
17544000000,8788000,1996.0,Florida,2019,<Report Month - 1>
18137000000,8790000,2063.0,Georgia,2019,<Report Month - 1>
17342000000,8784000,1974.0,Idaho,2019,<Report Month - 1>
17542000000,8785000,1997.0,Illinois,2019,<Report Month - 1>
17439000000,8785000,1985.0,Indiana,2019,<Report Month - 1>
16796000000,8785000,1912.0,Iowa,2019,<Report Month - 1>
17299000000,8785000,1969.0,Kansas,2019,<Report Month - 1>
16699000000,8785000,1901.0,Michigan,2019,<Report Month - 1>
17517000000,8785000,1994.0,Minnesota,2019,<Report Month - 1>
16112800000,8822000,1826.6,New Mexico,2019,<Report Month - 1>
16341600000,8817500,1853.5,New York,2019,<Report Month - 1>
16570400000,8813000,1880.4,Ohio,2019,<Report Month - 1>
16799200000,8808500,1907.3,Oregon,2019,<Report Month - 1>
17699000000,8805000,2010.0,Pennsylvania,2019,<Report Month - 1>
16132000000,8803000,1833.0,South Dakota,2019,<Report Month - 1>
17916000000,8789000,2038.0,Texas,2019,<Report Month - 1>
17544000000,8788000,1996.0,Utah,2019,<Report Month - 1>
18137000000,8790000,2063.0,Vermont,2019,<Report Month - 1>
18843000000,8782500,2144.5,Virginia,2019,<Report Month - 1>
19407300000,8778500,2209.3,Washington,2019,<Report Month - 1>
19971600000,8774500,2274.1,Wisconsin,2019,<Report Month - 1>
17956000000,8834000,2033.0,Arizona,2020,<Report Month - 1>
17031000000,8848000,1925.0,California,2020,<Report Month - 1>
18455000000,8857000,2084.0,Colorado,2020,<Report Month - 1>
17778000000,8852000,2008.0,Florida,2020,<Report Month - 1>
18049000000,8836000,2043.0,Georgia,2020,<Report Month - 1>
17486000000,8827000,1981.0,Idaho,2020,<Report Month - 1>
17800000000,8829000,2016.0,Illinois,2020,<Report Month - 1>
17800000000,8829000,2016.0,Indiana,2020,<Report Month - 1>
17800000000,8829000,2016.0,Iowa,2020,<Report Month - 1>
17800000000,8829000,2016.0,Kansas,2020,<Report Month - 1>
17800000000,8829000,2016.0,Michigan,2020,<Report Month - 1>
17800000000,8829000,2016.0,Minnesota,2020,<Report Month - 1>
17294000000,8840600,1956.8,New Mexico,2020,<Report Month - 1>
17387300000,8841400,1967.1,New York,2020,<Report Month - 1>
17480600000,8842200,1977.4,Ohio,2020,<Report Month - 1>
17573900000,8843000,1987.7,Oregon,2020,<Report Month - 1>
17956000000,8834000,2033.0,Pennsylvania,2020,<Report Month - 1>
17031000000,8848000,1925.0,South Dakota,2020,<Report Month - 1>
18455000000,8857000,2084.0,Texas,2020,<Report Month - 1>
17778000000,8852000,2008.0,Utah,2020,<Report Month - 1>
18049000000,8836000,2043.0,Vermont,2020,<Report Month - 1>
18422500000,8838000,2084.5,Virginia,2020,<Report Month - 1>
18660200000,8833900,2112.3,Washington,2020,<Report Month - 1>
18897900000,8829800,2140.1,Wisconsin,2020,<Report Month - 1>
17699000000,8805000,2010.0,Arizona,2019,<Report Month>
16132000000,8803000,1833.0,California,2019,<Report Month>
17916000000,8789000,2038.0,Colorado,2019,<Report Month>
17544000000,8788000,1996.0,Florida,2019,<Report Month>
18137000000,8790000,2063.0,Georgia,2019,<Report Month>
17342000000,8784000,1974.0,Idaho,2019,<Report Month>
17542000000,8785000,1997.0,Illinois,2019,<Report Month>
17439000000,8785000,1985.0,Indiana,2019,<Report Month>
16796000000,8785000,1912.0,Iowa,2019,<Report Month>
17299000000,8785000,1969.0,Kansas,2019,<Report Month>
16699000000,8785000,1901.0,Michigan,2019,<Report Month>
17517000000,8785000,1994.0,Minnesota,2019,<Report Month>
16112800000,8822000,1826.6,New Mexico,2019,<Report Month>
16341600000,8817500,1853.5,New York,2019,<Report Month>
16570400000,8813000,1880.4,Ohio,2019,<Report Month>
16799200000,8808500,1907.3,Oregon,2019,<Report Month>
17699000000,8805000,2010.0,Pennsylvania,2019,<Report Month>
16132000000,8803000,1833.0,South Dakota,2019,<Report Month>
17916000000,8789000,2038.0,Texas,2019,<Report Month>
17544000000,8788000,1996.0,Utah,2019,<Report Month>
18137000000,8790000,2063.0,Vermont,2019,<Report Month>
18843000000,8782500,2144.5,Virginia,2019,<Report Month>
19407300000,8778500,2209.3,Washington,2019,<Report Month>
19971600000,8774500,2274.1,Wisconsin,2019,<Report Month>
17956000000,8834000,2033.0,Arizona,2020,<Report Month>
17031000000,8848000,1925.0,California,2020,<Report Month>
18455000000,8857000,2084.0,Colorado,2020,<Report Month>
17778000000,8852000,2008.0,Florida,2020,<Report Month>
18049000000,8836000,2043.0,Georgia,2020,<Report Month>
17486000000,8827000,1981.0,Idaho,2020,<Report Month>
17800000000,8829000,2016.0,Illinois,2020,<Report Month>
17800000000,8829000,2016.0,Indiana,2020,<Report Month>
17800000000,8829000,2016.0,Iowa,2020,<Report Month>
17800000000,8829000,2016.0,Kansas,2020,<Report Month>
17800000000,8829000,2016.0,Michigan,2020,<Report Month>
17800000000,8829000,2016.0,Minnesota,2020,<Report Month>
17294000000,8840600,1956.8,New Mexico,2020,<Report Month>
17387300000,8841400,1967.1,New York,2020,<Report Month>
17480600000,8842200,1977.4,Ohio,2020,<Report Month>
17573900000,8843000,1987.7,Oregon,2020,<Report Month>
17956000000,8834000,2033.0,Pennsylvania,2020,<Report Month>
17031000000,8848000,1925.0,South Dakota,2020,<Report Month>
18455000000,8857000,2084.0,Texas,2020,<Report Month>
17778000000,8852000,2008.0,Utah,2020,<Report Month>
18049000000,8836000,2043.0,Vermont,2020,<Report Month>
18422500000,8838000,2084.5,Virginia,2020,<Report Month>
18660200000,8833900,2112.3,Washington,2020,<Report Month>
18897900000,8829800,2140.1,Wisconsin,2020,<Report Month>
