Milk Production (lbs),Milk Cows,Milk Per Cow,Year,Month,Quarter
17699000000,8805000,2010,2019,1,1
16132000000,8803000,1833,2019,2,1
17916000000,8789000,2038,2019,3,1
17544000000,8788000,1996,2019,4,2
18137000000,8790000,2063,2019,5,2
17342000000,8784000,1974,2019,6,2
17542000000,8785000,1997,2019,7,3
17439000000,8789000,1984,2019,8,3
16796000000,8805000,1908,2019,9,3
17299000000,8819000,1962,2019,10,4
16699000000,8817000,1894,2019,11,4
17517000000,8816000,1987,2019,12,4
17956000000,8834000,2033,2020,1,1
17031000000,8848000,1925,2020,2,1
18455000000,8857000,2084,2020,3,1
17778000000,8852000,2008,2020,4,2
18049000000,8836000,2043,2020,5,2
17486000000,8827000,1981,2020,6,2
17800000000,8829000,2016,2020,7,3
