"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,361,000",""
"SURVEY","2020","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,860,000,000",""
"SURVEY","2020","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","2,015",""
"SURVEY","2020","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,375,000",""
"SURVEY","2020","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","17,890,000,000",""
"SURVEY","2020","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,908",""
"SURVEY","2020","MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,385,000",""
"SURVEY","2020","MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","19,380,000,000",""
"SURVEY","2020","MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","2,065",""
"SURVEY","2020","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,375,000",""
"SURVEY","2020","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,675,000,000",""
"SURVEY","2020","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,992",""
"SURVEY","2020","MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,360,000",""
"SURVEY","2020","MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,955,000,000",""
"SURVEY","2020","MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","2,025",""
"SURVEY","2020","JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,350,000",""
"SURVEY","2020","JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,367,000,000",""
"SURVEY","2020","JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,964",""
"SURVEY","2020","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,360,000",""
"SURVEY","2020","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,735,000,000",""
"SURVEY","2020","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","2,002",""
"SURVEY","2020","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,360,000",""
"SURVEY","2020","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,600,000,000",""
"SURVEY","2020","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,987",""
"SURVEY","2019","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,354,000",""
"SURVEY","2019","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,612,000,000",""
"SURVEY","2019","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,990",""
"SURVEY","2019","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,352,000",""
"SURVEY","2019","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","16,966,000,000",""
"SURVEY","2019","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,814",""
"SURVEY","2019","MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,333,000",""
"SURVEY","2019","MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,845,000,000",""
"SURVEY","2019","MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","2,019",""
"SURVEY","2019","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,332,000",""
"SURVEY","2019","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,433,000,000",""
"SURVEY","2019","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,975",""
"SURVEY","2019","MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,333,000",""
"SURVEY","2019","MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","19,058,000,000",""
"SURVEY","2019","MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","2,042",""
"SURVEY","2019","JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,327,000",""
"SURVEY","2019","JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,225,000,000",""
"SURVEY","2019","JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,954",""
"SURVEY","2019","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,315,000",""
"SURVEY","2019","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,375,000,000",""
"SURVEY","2019","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,973",""
"SURVEY","2019","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,318,000",""
"SURVEY","2019","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,267,000,000",""
"SURVEY","2019","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,960",""
"SURVEY","2019","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,333,000",""
"SURVEY","2019","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","17,595,000,000",""
"SURVEY","2019","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,885",""
"SURVEY","2019","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,347,000",""
"SURVEY","2019","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,135,000,000",""
"SURVEY","2019","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRODUCTION, MEASURED IN LB / HEAD","TOTAL","NOT SPECIFIED","1,940",""
"SURVEY","2019","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,345,000",""
