Year,State,Milk Cows,Production of milk and milkfat; Per milk cow; Milk,Production of milk and milkfat; Per milk cow; Milkfat,Production of milk and milkfat; All milk percent of fat,Production of milk and milkfat; Total; Milk,Production of milk and milkfat; Total; Milkfat,Milk used where produced; Fed to calves,"Milk used where produced; Milk, cream, and butter",Milk used where produced; Total,Milk marketed by producers; Total,Milk marketed by producers; Fluid grade,Milk utilized,All milk average returns per cwt,Returns per pound of milkfat,Cash receipts from marketings,"Used for milk, cream, and butter by producers; Milk utilized","Used for milk cream, and butter by producers; Value",Gross producer income,Value of milk produced
2017,Alabama,6000,15000,579,3.86,90000000,3500000.0,700000,300000,1000000,89000000,100,89000000,18.6,4.82,16554000,300000,56000,16610000,16740000
2017,Alaska,300,9667,379,3.92,2900000,100000.0,200000,200000,400000,2500000,100,2500000,22.0,5.61,550000,200000,44000,594000,638000
2017,Arizona,208000,24197,876,3.62,5033000000,182200000.0,13000000,1000000,14000000,5019000000,100,5019000000,16.7,4.61,838173000,1000000,167000,838340000,840511000
2017,Arkansas,6000,13333,496,3.72,80000000,3000000.0,1700000,300000,2000000,78000000,100,78000000,18.7,5.03,14586000,300000,56000,14642000,14960000
2017,California,1749000,22755,876,3.85,39798000000,1532200000.0,26000000,4000000,30000000,39768000000,97,39768000000,16.5,4.29,6561720000,4000000,660000,6562380000,6566670000
2017,Colorado,162000,25858,954,3.69,4189000000,154600000.0,21000000,1000000,22000000,4167000000,100,4167000000,18.1,4.91,754227000,1000000,181000,754408000,758209000
2017,Connecticut,19000,22105,871,3.94,420000000,16500000.0,2500000,500000,3000000,417000000,100,417000000,18.6,4.72,77562000,500000,93000,77655000,78120000
2017,Delaware,5000,18560,716,3.86,92800000,3600000.0,900000,100000,1000000,91800000,100,91800000,17.6,4.56,16157000,100000,18000,16175000,16333000
2017,Florida,124000,20129,743,3.69,2496000000,92100000.0,5000000,1000000,6000000,2490000000,100,2490000000,21.5,5.83,535350000,1000000,215000,535565000,536640000
2017,Georgia,84000,21905,795,3.63,1840000000,66800000.0,7000000,1000000,8000000,1832000000,100,1832000000,19.0,5.23,348080000,1000000,190000,348270000,349600000
2017,Hawaii,2300,16913,560,3.31,38900000,1300000.0,100000,100000,200000,38700000,100,38700000,28.6,8.64,11068000,100000,29000,11097000,11125000
2017,Idaho,600000,24388,954,3.91,14633000000,572200000.0,31000000,1000000,32000000,14601000000,100,14601000000,17.2,4.4,2511372000,1000000,172000,2511544000,2516876000
2017,Illinois,93000,20742,796,3.84,1929000000,74100000.0,10000000,2000000,12000000,1917000000,98,1917000000,18.3,4.77,350811000,2000000,366000,351177000,353007000
2017,Indiana,187000,22754,851,3.74,4255000000,159100000.0,23000000,4000000,27000000,4228000000,100,4228000000,17.7,4.73,748356000,4000000,708000,749064000,753135000
2017,Iowa,218000,23757,919,3.87,5179000000,200400000.0,15000000,1000000,16000000,5163000000,100,5163000000,18.1,4.68,934503000,1000000,181000,934684000,937399000
2017,Kansas,152000,23020,866,3.76,3499000000,131600000.0,13000000,1000000,14000000,3485000000,100,3485000000,16.9,4.49,588965000,1000000,169000,589134000,591331000
2017,Kentucky,56000,18607,700,3.76,1042000000,39200000.0,6000000,1000000,7000000,1035000000,100,1035000000,18.9,5.03,195615000,1000000,189000,195804000,196938000
2017,Louisiana,12000,13417,521,3.88,161000000,6200000.0,2000000,1000000,3000000,158000000,100,158000000,18.7,4.82,29546000,1000000,187000,29733000,30107000
